book_id,title,subtitle,author,genre,target_audience,page_count,price,format,publication_date,status,imprint,notes
BK001,Technology Book 1,An Exploration in Technology,Author 1,Technology,Academic and Professional,250,29.99,Hardcover,2025-09-22,planned,Future Focus,Initial catalog book focusing on technology content
BK002,Science Book 2,An Exploration in Science,Author 2,Science,Academic and Professional,250,29.99,Hardcover,2025-10-13,planned,Future Focus,Initial catalog book focusing on science content
BK003,Philosophy Book 3,An Exploration in Philosophy,Author 3,Philosophy,Academic and Professional,250,29.99,Hardcover,2025-11-03,planned,Future Focus,Initial catalog book focusing on philosophy content
BK004,Future Studies Book 4,An Exploration in Future Studies,Author 4,Future Studies,Academic and Professional,250,29.99,Hardcover,2025-11-24,planned,Future Focus,Initial catalog book focusing on future studies content
BK005,Technology Book 5,An Exploration in Technology,Author 5,Technology,Academic and Professional,250,29.99,Hardcover,2025-12-22,planned,Future Focus,Initial catalog book focusing on technology content
BK006,Science Book 6,An Exploration in Science,Author 6,Science,Academic and Professional,250,29.99,Hardcover,2026-01-12,planned,Future Focus,Initial catalog book focusing on science content
BK007,Philosophy Book 7,An Exploration in Philosophy,Author 7,Philosophy,Academic and Professional,250,29.99,Hardcover,2026-02-02,planned,Future Focus,Initial catalog book focusing on philosophy content
BK008,Future Studies Book 8,An Exploration in Future Studies,Author 8,Future Studies,Academic and Professional,250,29.99,Hardcover,2026-02-23,planned,Future Focus,Initial catalog book focusing on future studies content
BK009,Technology Book 9,An Exploration in Technology,Author 9,Technology,Academic and Professional,250,29.99,Hardcover,2026-03-23,planned,Future Focus,Initial catalog book focusing on technology content
BK010,Science Book 10,An Exploration in Science,Author 10,Science,Academic and Professional,250,29.99,Hardcover,2026-04-13,planned,Future Focus,Initial catalog book focusing on science content
BK011,Philosophy Book 11,An Exploration in Philosophy,Author 11,Philosophy,Academic and Professional,250,29.99,Hardcover,2026-05-04,planned,Future Focus,Initial catalog book focusing on philosophy content
BK012,Future Studies Book 12,An Exploration in Future Studies,Author 12,Future Studies,Academic and Professional,250,29.99,Hardcover,2026-05-25,planned,Future Focus,Initial catalog book focusing on future studies content
BK013,Technology Book 13,An Exploration in Technology,Author 13,Technology,Academic and Professional,250,29.99,Hardcover,2026-06-22,planned,Future Focus,Initial catalog book focusing on technology content
BK014,Science Book 14,An Exploration in Science,Author 14,Science,Academic and Professional,250,29.99,Hardcover,2026-07-13,planned,Future Focus,Initial catalog book focusing on science content
BK015,Philosophy Book 15,An Exploration in Philosophy,Author 15,Philosophy,Academic and Professional,250,29.99,Hardcover,2026-08-03,planned,Future Focus,Initial catalog book focusing on philosophy content
